Id,Expected
0,1
1,0
2,0
3,0
4,0
5,1
6,1
7,0
8,0
9,1
10,1
11,1
12,0
13,1
14,1
15,1
16,1
17,0
18,0
19,1
20,1
21,1
22,1
23,0
24,1
25,0
26,0
27,1
28,1
29,1
30,0
31,0
32,1
33,1
34,1
35,1
36,0
37,1
38,1
39,1
40,0
41,1
42,1
43,1
44,1
45,1
46,0
47,1
48,0
49,0
50,0
51,1
52,1
53,0
54,1
55,1
56,1
57,1
58,1
59,0
60,1
61,1
62,1
63,0
64,1
65,0
66,0
67,1
68,1
69,1
70,0
71,1
72,0
73,0
74,1
75,0
76,0
77,0
78,1
79,0
80,0
81,1
82,1
83,1
84,0
85,1
86,1
87,0
88,1
89,0
90,1
91,1
92,0
93,0
94,0
95,0
96,0
97,0
98,1
99,1
100,0
101,1
102,0
103,0
104,0
105,0
106,1
107,1
108,0
109,1
110,0
111,1
112,0
113,1
114,1
115,1
116,0
117,1
118,0
119,1
120,0
121,0
122,0
123,1
124,0
125,1
126,1
127,0
128,0
129,1
130,1
131,1
132,0
133,0
134,0
135,1
136,1
137,0
138,1
139,1
140,0
141,1
142,1
143,1
144,0
145,0
146,1
147,1
148,0
149,0
150,0
151,1
152,0
153,0
154,1
155,1
156,0
157,1
158,1
159,0
160,1
161,1
162,0
163,0
164,0
165,0
166,1
167,0
168,0
169,1
170,0
171,0
172,1
173,0
174,0
175,1
176,0
177,1
178,0
179,1
180,1
181,0
182,1
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,0
198,1
199,1
200,1
201,0
202,1
203,0
204,0
205,0
206,1
207,1
208,0
209,0
210,0
211,1
212,0
213,0
214,0
215,0
216,0
217,1
218,1
219,0
220,1
221,1
222,1
223,0
224,0
225,1
226,1
227,0
228,1
229,0
230,1
231,0
232,1
233,1
234,0
235,1
236,1
237,1
238,1
239,0
240,0
241,0
242,0
243,1
244,1
245,1
246,1
247,0
248,0
249,1
250,0
251,1
252,1
253,1
254,1
255,1
256,1
257,0
258,1
259,1
260,0
261,1
262,1
263,1
264,0
265,0
266,0
267,0
268,0
269,0
270,1
271,1
272,1
273,1
274,0
275,0
276,1
277,1
278,0
279,0
280,0
281,0
282,1
283,1
284,1
285,0
286,0
287,0
288,0
289,1
290,0
291,1
292,1
293,0
294,1
295,0
296,1
297,0
298,0
299,1
300,1
301,0
302,0
303,0
304,1
305,1
306,0
307,1
308,1
309,1
310,0
311,1
312,0
313,1
314,1
315,0
316,1
317,1
318,0
319,0
320,1
321,1
322,0
323,1
324,1
325,0
326,1
327,1
328,0
329,1
330,1
331,0
332,0
333,1
334,0
335,1
336,0
337,1
338,0
339,0
340,1
341,0
342,1
343,0
344,1
345,1
346,0
347,1
348,1
349,0
350,0
351,1
352,1
353,1
354,0
355,0
356,1
357,0
358,0
359,1
360,0
361,0
362,0
363,1
364,1
365,1
366,0
367,1
368,1
369,1
370,0
371,0
372,0
373,1
374,0
375,1
376,1
377,1
378,1
379,1
380,1
381,0
382,0
383,1
384,0
385,0
386,1
387,0
388,1
389,0
390,1
391,0
392,1
393,0
394,0
395,1
396,0
397,0
398,0
399,0
400,1
401,0
402,1
403,0
404,1
405,1
406,0
407,0
408,0
409,1
410,1
411,0
412,0
413,1
414,1
415,0
416,0
417,1
418,1
419,0
420,0
421,0
422,1
423,1
424,1
425,0
426,0
427,1
428,1
429,0
430,1
431,0
432,1
433,1
434,1
435,1
436,0
437,0
438,0
439,0
440,1
441,0
442,1
443,1
444,0
445,0
446,0
447,1
448,0
449,0
450,1
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,1
459,0
460,1
461,1
